,Country,GDP
2015-07-12,Argentina,-0.249786249
2015-07-13,Argentina,-0.249786249
2015-07-14,Argentina,-0.249786249
2015-07-15,Argentina,-0.249786249
2015-07-16,Argentina,-0.249786249
2015-07-17,Argentina,-0.249786249
2015-07-18,Argentina,-0.249786249
2015-07-19,Argentina,-0.249786249
2015-07-20,Argentina,-0.249786249
2015-07-21,Argentina,-0.249786249
2015-07-22,Argentina,-0.249786249
2015-07-23,Argentina,-0.249786249
2015-07-24,Argentina,-0.249786249
2015-07-25,Argentina,-0.249786249
2015-07-26,Argentina,-0.249786249
2015-07-27,Argentina,-0.249786249
2015-07-28,Argentina,-0.249786249
2015-07-29,Argentina,-0.249786249
2015-07-30,Argentina,-0.249786249
2015-07-31,Argentina,-0.249786249
2015-08-01,Argentina,-0.249786249
2015-08-02,Argentina,-0.249786249
2015-08-03,Argentina,-0.249786249
2015-08-04,Argentina,-0.249786249
2015-08-05,Argentina,-0.249786249
2015-08-06,Argentina,-0.249786249
2015-08-07,Argentina,-0.249786249
2015-08-08,Argentina,-0.249786249
2015-08-09,Argentina,-0.249786249
2015-08-10,Argentina,-0.249786249
2015-08-11,Argentina,-0.249786249
2015-08-12,Argentina,-0.249786249
2015-08-13,Argentina,-0.249786249
2015-08-14,Argentina,-0.249786249
2015-08-15,Argentina,-0.249786249
2015-08-16,Argentina,-0.249786249
2015-08-17,Argentina,-0.249786249
2015-08-18,Argentina,-0.249786249
2015-08-19,Argentina,-0.249786249
2015-08-20,Argentina,-0.249786249
2015-08-21,Argentina,-0.249786249
2015-08-22,Argentina,-0.249786249
2015-08-23,Argentina,-0.249786249
2015-08-24,Argentina,-0.249786249
2015-08-25,Argentina,-0.249786249
2015-08-26,Argentina,-0.249786249
2015-08-27,Argentina,-0.249786249
2015-08-28,Argentina,-0.249786249
2015-08-29,Argentina,-0.249786249
2015-08-30,Argentina,-0.249786249
2015-08-31,Argentina,-0.249786249
2015-09-01,Argentina,-0.249786249
2015-09-02,Argentina,-0.249786249
2015-09-03,Argentina,-0.249786249
2015-09-04,Argentina,-0.249786249
2015-09-05,Argentina,-0.249786249
2015-09-06,Argentina,-0.249786249
2015-09-07,Argentina,-0.249786249
2015-09-08,Argentina,-0.249786249
2015-09-09,Argentina,-0.249786249
2015-09-10,Argentina,-0.249786249
2015-09-11,Argentina,-0.249786249
2015-09-12,Argentina,-0.249786249
2015-09-13,Argentina,-0.249786249
2015-09-14,Argentina,-0.249786249
2015-09-15,Argentina,-0.249786249
2015-09-16,Argentina,-0.249786249
2015-09-17,Argentina,-0.249786249
2015-09-18,Argentina,-0.249786249
2015-09-19,Argentina,-0.249786249
2015-09-20,Argentina,-0.249786249
2015-09-21,Argentina,-0.249786249
2015-09-22,Argentina,-0.249786249
2015-09-23,Argentina,-0.249786249
2015-09-24,Argentina,-0.249786249
2015-09-25,Argentina,-0.249786249
2015-09-26,Argentina,-0.249786249
2015-09-27,Argentina,-0.249786249
2015-09-28,Argentina,-0.249786249
2015-09-29,Argentina,-0.249786249
2015-09-30,Argentina,-0.249786249
2015-10-01,Argentina,-1.166511669
2015-10-02,Argentina,-1.166511669
2015-10-03,Argentina,-1.166511669
2015-10-04,Argentina,-1.166511669
